"n","gram","annee","mois","rubrique","total"
24,"guerre",1945,1,"culture",4248522
36,"guerre",1945,1,"inclassable",4248522
423,"guerre",1945,1,"international",4248522
159,"guerre",1945,1,"politique",4248522
4,"guerre",1945,1,"science/technologie",4248522
8,"guerre",1945,1,"société",4248522
1,"guerre",1945,1,"sport",4248522
25,"guerre",1945,1,"économie",4248522
42,"guerre",1945,2,"culture",4248522
50,"guerre",1945,2,"inclassable",4248522
439,"guerre",1945,2,"international",4248522
80,"guerre",1945,2,"politique",4248522
4,"guerre",1945,2,"science/technologie",4248522
12,"guerre",1945,2,"société",4248522
2,"guerre",1945,2,"sport",4248522
41,"guerre",1945,2,"économie",4248522
24,"guerre",1945,3,"culture",4248522
29,"guerre",1945,3,"inclassable",4248522
412,"guerre",1945,3,"international",4248522
157,"guerre",1945,3,"politique",4248522
13,"guerre",1945,3,"société",4248522
1,"guerre",1945,3,"sport",4248522
60,"guerre",1945,3,"économie",4248522
20,"guerre",1945,4,"culture",4248522
49,"guerre",1945,4,"inclassable",4248522
495,"guerre",1945,4,"international",4248522
67,"guerre",1945,4,"politique",4248522
1,"guerre",1945,4,"science/technologie",4248522
12,"guerre",1945,4,"société",4248522
16,"guerre",1945,4,"économie",4248522
37,"guerre",1945,5,"culture",4248522
44,"guerre",1945,5,"inclassable",4248522
619,"guerre",1945,5,"international",4248522
115,"guerre",1945,5,"politique",4248522
11,"guerre",1945,5,"société",4248522
1,"guerre",1945,5,"sport",4248522
51,"guerre",1945,5,"économie",4248522
38,"guerre",1945,6,"culture",4248522
60,"guerre",1945,6,"inclassable",4248522
400,"guerre",1945,6,"international",4248522
101,"guerre",1945,6,"politique",4248522
16,"guerre",1945,6,"société",4248522
1,"guerre",1945,6,"sport",4248522
24,"guerre",1945,6,"économie",4248522
48,"guerre",1945,7,"culture",4248522
35,"guerre",1945,7,"inclassable",4248522
379,"guerre",1945,7,"international",4248522
176,"guerre",1945,7,"politique",4248522
6,"guerre",1945,7,"science/technologie",4248522
32,"guerre",1945,7,"société",4248522
41,"guerre",1945,7,"économie",4248522
13,"guerre",1945,8,"culture",4248522
35,"guerre",1945,8,"inclassable",4248522
490,"guerre",1945,8,"international",4248522
225,"guerre",1945,8,"politique",4248522
13,"guerre",1945,8,"science/technologie",4248522
20,"guerre",1945,8,"société",4248522
31,"guerre",1945,8,"économie",4248522
56,"guerre",1945,9,"culture",4248522
45,"guerre",1945,9,"inclassable",4248522
403,"guerre",1945,9,"international",4248522
121,"guerre",1945,9,"politique",4248522
3,"guerre",1945,9,"science/technologie",4248522
47,"guerre",1945,9,"société",4248522
5,"guerre",1945,9,"sport",4248522
56,"guerre",1945,9,"économie",4248522
58,"guerre",1945,10,"culture",4248522
48,"guerre",1945,10,"inclassable",4248522
346,"guerre",1945,10,"international",4248522
122,"guerre",1945,10,"politique",4248522
16,"guerre",1945,10,"science/technologie",4248522
33,"guerre",1945,10,"société",4248522
1,"guerre",1945,10,"sport",4248522
32,"guerre",1945,10,"économie",4248522
74,"guerre",1945,11,"culture",4248522
51,"guerre",1945,11,"inclassable",4248522
396,"guerre",1945,11,"international",4248522
92,"guerre",1945,11,"politique",4248522
2,"guerre",1945,11,"science/technologie",4248522
33,"guerre",1945,11,"société",4248522
1,"guerre",1945,11,"sport",4248522
45,"guerre",1945,11,"économie",4248522
61,"guerre",1945,12,"culture",4248522
22,"guerre",1945,12,"inclassable",4248522
364,"guerre",1945,12,"international",4248522
117,"guerre",1945,12,"politique",4248522
10,"guerre",1945,12,"science/technologie",4248522
46,"guerre",1945,12,"société",4248522
5,"guerre",1945,12,"sport",4248522
