"n","gram","annee","mois","rubrique","total"
6,"paix",1945,1,"culture",4248522
1,"paix",1945,1,"inclassable",4248522
71,"paix",1945,1,"international",4248522
38,"paix",1945,1,"politique",4248522
2,"paix",1945,1,"société",4248522
1,"paix",1945,1,"économie",4248522
1,"paix",1945,2,"culture",4248522
1,"paix",1945,2,"inclassable",4248522
115,"paix",1945,2,"international",4248522
19,"paix",1945,2,"politique",4248522
1,"paix",1945,2,"société",4248522
3,"paix",1945,2,"économie",4248522
1,"paix",1945,3,"culture",4248522
1,"paix",1945,3,"inclassable",4248522
104,"paix",1945,3,"international",4248522
28,"paix",1945,3,"politique",4248522
3,"paix",1945,3,"société",4248522
4,"paix",1945,3,"économie",4248522
3,"paix",1945,4,"culture",4248522
5,"paix",1945,4,"inclassable",4248522
153,"paix",1945,4,"international",4248522
9,"paix",1945,4,"politique",4248522
4,"paix",1945,4,"société",4248522
5,"paix",1945,5,"culture",4248522
6,"paix",1945,5,"inclassable",4248522
169,"paix",1945,5,"international",4248522
28,"paix",1945,5,"politique",4248522
2,"paix",1945,5,"société",4248522
5,"paix",1945,5,"économie",4248522
5,"paix",1945,6,"culture",4248522
4,"paix",1945,6,"inclassable",4248522
162,"paix",1945,6,"international",4248522
14,"paix",1945,6,"politique",4248522
1,"paix",1945,6,"société",4248522
10,"paix",1945,7,"culture",4248522
2,"paix",1945,7,"inclassable",4248522
110,"paix",1945,7,"international",4248522
23,"paix",1945,7,"politique",4248522
4,"paix",1945,7,"société",4248522
1,"paix",1945,7,"économie",4248522
2,"paix",1945,8,"culture",4248522
5,"paix",1945,8,"inclassable",4248522
198,"paix",1945,8,"international",4248522
37,"paix",1945,8,"politique",4248522
6,"paix",1945,8,"science/technologie",4248522
7,"paix",1945,8,"société",4248522
1,"paix",1945,8,"économie",4248522
9,"paix",1945,9,"culture",4248522
12,"paix",1945,9,"inclassable",4248522
171,"paix",1945,9,"international",4248522
31,"paix",1945,9,"politique",4248522
1,"paix",1945,9,"science/technologie",4248522
5,"paix",1945,9,"société",4248522
1,"paix",1945,9,"économie",4248522
12,"paix",1945,10,"culture",4248522
15,"paix",1945,10,"inclassable",4248522
148,"paix",1945,10,"international",4248522
46,"paix",1945,10,"politique",4248522
2,"paix",1945,10,"science/technologie",4248522
6,"paix",1945,10,"société",4248522
2,"paix",1945,10,"économie",4248522
23,"paix",1945,11,"culture",4248522
8,"paix",1945,11,"inclassable",4248522
123,"paix",1945,11,"international",4248522
31,"paix",1945,11,"politique",4248522
5,"paix",1945,11,"société",4248522
22,"paix",1945,12,"culture",4248522
